职位,公司,地址,薪酬,标签
Java工程师,科学出版社成都有限责任公司,成都,0.8-1.6万/月,"[[['五险一金'], ['员工旅游'], ['绩效奖金'], ['定期体检'], ['弹性工作'], ['股票期权'], ['上五休二'], ['生日福利'], ['出国机会']], ['成都', '5-7年经验', '本科', '招2人', '09-03发布', '英语']]"
Java高级开发工程师,深圳市微创云启科技有限公司,深圳-南山区,1.5-2.4万/月,"[[['绩效奖金'], ['五险一金'], ['专业培训'], ['定期体检'], ['员工旅游']], ['深圳-南山区', '5-7年经验', '大专', '招若干人', '09-03发布', '英语良好']]"
Java软件工程师,上海九盈信息科技有限公司,上海-徐汇区,1.2-1.8万/月,"[[['五险一金'], ['股票期权'], ['专业培训'], ['员工旅游'], ['出国机会']], ['上海-徐汇区', '3-4年经验', '大专', '招若干人', '09-03发布']]"
Android java开发工程师,苏州轰天炮光电科技有限公司,苏州-相城区,1-1.5万/月,"[[['带薪年假'], ['五险一金'], ['绩效奖金'], ['专业培训'], ['公司聚餐']], ['苏州-相城区', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java开发工程师,上海天用唯勤软件技术有限公司,杭州-滨江区,0.8-1.5万/月,"[[['五险一金'], ['绩效奖金'], ['员工旅游']], ['杭州-滨江区', '1年经验', '大专', '招5人', '09-03发布']]"
Java开发工程师,深圳格隆汇信息科技有限公司,深圳-南山区,1.5-2万/月,"[[['五险一金'], ['绩效奖金'], ['股票期权'], ['专业培训']], ['深圳-南山区', '3-4年经验', '本科', '招若干人', '09-03发布']]"
雅居乐 Java开发工程师,雅居乐雅生活集团雅天网络科技公司,广州-天河区,1-2万/月,"[[['五险一金'], ['餐饮补贴'], ['绩效奖金'], ['年终奖金'], ['弹性工作'], ['专业培训'], ['定期体检'], ['平台大']], ['广州-天河区', '3-4年经验', '本科', '招3人', '09-03发布', '普通话良好']]"
Java高级讲师,北京师大安博教育科技有限责任公司,大连-高新园区,0.8-1万/月,"[[['五险一金'], ['补充医疗保险'], ['专业培训'], ['弹性工作'], ['通讯补贴']], ['大连-高新园区', '3-4年经验', '大专', '招若干人', '09-03发布']]"
Java软件开发工程师助理,湖北阿百云健康科技服务有限公司,武汉-洪山区,4.5-7.5千/月,"[[], ['武汉-洪山区', '无工作经验', '大专', '招4人', '09-03发布']]"
Java高级开发工程师,顺沃企业管理咨询（上海）有限公司,上海,1.5-2.5万/月,"[[['五险一金'], ['员工旅游'], ['年终奖金'], ['定期体检']], ['上海', '无工作经验', '本科', '招3人', '09-03发布']]"
Java开发工程师（中级）,新智认知数据服务有限公司,南京-雨花台区,1-2万/月,"[[['餐饮补贴'], ['定期体检'], ['通讯补贴'], ['专业培训'], ['免费班车'], ['五险一金']], ['南京-雨花台区', '无工作经验', '招4人', '09-03发布']]"
Java高级软件开发工程师,卓沃信息技术（上海）有限公司,上海-浦东新区,1-1.5万/月,"[[['五险一金'], ['专业培训'], ['弹性工作']], ['上海-浦东新区', '3-4年经验', '本科', '招5人', '09-03发布']]"
Java开发工程师,广东众图互联网工程设计有限公司,佛山-南海区,6-8千/月,"[[['五险一金'], ['补充医疗保险'], ['员工旅游'], ['定期体检'], ['年终奖金']], ['佛山-南海区', '2年经验', '本科', '招3人', '09-03发布']]"
Java高级开发工程师,长沙远大住宅工业集团股份有限公司,长沙,7-9千/月,"[[['五险一金'], ['补充医疗保险'], ['餐饮补贴'], ['通讯补贴'], ['绩效奖金'], ['年终奖金'], ['交通补贴']], ['长沙', '3-4年经验', '本科', '招5人', '09-03发布']]"
Java高级开发工程师,北京无限时空网络技术有限公司,北京-朝阳区,1.5-2万/月,"[[['弹性工作'], ['带薪年假'], ['五险一金'], ['全勤奖'], ['餐饮补贴'], ['周末双休'], ['节日福利']], ['北京-朝阳区', '2年经验', '大专', '招2人', '09-03发布']]"
Java开发工程师,达维信息技术（深圳）有限公司,深圳-龙岗区,1-1.5万/月,"[[], ['深圳-龙岗区', '无工作经验', '大专', '招5人', '09-03发布']]"
Java开发工程师,上海益芯金融信息服务有限公司,上海-浦东新区,1-1.5万/月,"[[['做五休二'], ['周末双休'], ['带薪年假'], ['节日福利'], ['朝九晚六'], ['五险一金'], ['环境轻松']], ['上海-浦东新区', '无工作经验', '招2人', '09-03发布']]"
Java开发工程师,深圳市思迪信息技术股份有限公司,郑州-金水区,6-9千/月,"[[['五险一金'], ['员工旅游'], ['专业培训'], ['补充医疗保险'], ['定期体检'], ['弹性工作'], ['绩效奖金']], ['郑州-金水区', '3-4年经验', '大专', '招1人', '09-03发布']]"
java、web,深圳市雁联技术服务有限公司,深圳-南山区,0.9-1.5万/月,"[[['周末双休'], ['加班补贴'], ['带薪年假'], ['定期体检'], ['年终奖金'], ['生日福利'], ['六险一金'], ['法定假期']], ['深圳-南山区', '2年经验', '本科', '招8人', '09-03发布']]"
java开发工程师,上海媒科锐奇网络科技有限公司,上海-浦东新区,0.8-1万/月,"[[['五险一金'], ['定期体检'], ['员工旅游'], ['年终奖金'], ['弹性工作'], ['餐饮补贴'], ['交通补贴']], ['上海-浦东新区', '无工作经验', '本科', '招2人', '09-03发布', '软件工程', '计算机科学与技术']]"
Java开发工程师,深圳市蓝泰源信息技术股份有限公司,武汉-江夏区,0.8-1.6万/月,"[[['五险一金'], ['餐饮补贴'], ['绩效奖金'], ['年终奖金'], ['定期体检'], ['股票期权'], ['周末双休'], ['不加班']], ['武汉-江夏区', '3-4年经验', '本科', '招若干人', '09-03发布']]"
Java开发工程师（1）,深圳市菲普莱体育发展有限公司,深圳-宝安区,1.5-2万/月,"[[['五险一金'], ['补充医疗保险'], ['员工旅游'], ['餐饮补贴'], ['绩效奖金'], ['年终奖金'], ['定期体检']], ['深圳-宝安区', '5-7年经验', '大专', '招2人', '09-03发布', '英语', '软件工程']]"
Java架构师,爱问医联科技（深圳）有限公司,深圳-南山区,1.5-2.5万/月,"[[['五险一金'], ['餐饮补贴'], ['专业培训'], ['员工旅游']], ['深圳-南山区', '5-7年经验', '本科', '招1人', '09-03发布']]"
高级JAVA开发工程师,北京中发智迅科技发展有限公司,北京-海淀区,2-3.5万/月,"[[['周末双休'], ['带薪年假'], ['五险一金'], ['节日福利'], ['绩效奖金']], ['北京-海淀区', '5-7年经验', '本科', '招若干人', '09-03发布', '计算机科学与技术']]"
Java软件开发/Java实习生/Java学徒（双休）,合肥酷菲信息技术有限公司,合肥,4.5-6千/月,"[[], ['合肥', '无工作经验', '大专', '招3人', '09-03发布']]"
JAVA/J2EE工程师,无锡拼起来网络科技有限公司,无锡,0.9-1万/月,"[[['五险一金'], ['年终奖金']], ['无锡', '3-4年经验', '招1人', '09-03发布']]"
Java高级开发工程师,郑州思博科信息技术有限公司,郑州,0.8-1万/月,"[[['五险一金'], ['绩效奖金'], ['年终奖金'], ['定期体检']], ['郑州', '无工作经验', '招3人', '09-03发布']]"
JAVA/J2EE开发工程师,广州市勤思网络科技有限公司,广州,0.7-1.3万/月,"[[['补充医疗保险'], ['员工旅游'], ['交通补贴'], ['股票期权'], ['年终奖金'], ['绩效奖金'], ['专业培训']], ['广州', '2年经验', '本科', '招3人', '09-03发布']]"
Java开发工程师,深圳市纽瑞尔信息技术有限公司,深圳,1-1.5万/月,"[[['五险一金'], ['弹性工作'], ['年终奖金']], ['深圳', '2年经验', '本科', '招3人', '09-03发布', '计算机科学与技术', '计算机信息管理']]"
Java开发工程师,武汉瀚金源科技有限公司,武汉-洪山区,0.7-1.5万/月,"[[['五险一金'], ['员工旅游'], ['绩效奖金'], ['年终奖金'], ['弹性工作'], ['定期体检'], ['专业培训']], ['武汉-洪山区', '3-4年经验', '大专', '招3人', '09-03发布']]"
Java架构师,上海国烨跨境电子商务有限公司,上海-虹口区,2.5-3.5万/月,"[[['五险一金'], ['交通补贴'], ['绩效奖金'], ['餐饮补贴'], ['通讯补贴']], ['上海-虹口区', '无工作经验', '招若干人', '09-03发布']]"
Java高级开发工程师,亚信科技（中国）有限公司,北京-通州区,1.2-2万/月,"[[['五险一金'], ['补充医疗保险'], ['免费班车'], ['交通补贴'], ['餐饮补贴'], ['通讯补贴'], ['绩效奖金'], ['弹性工作'], ['定期体检'], ['专业培训']], ['北京-通州区', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java开发工程师,武汉力龙信息科技股份有限公司,武汉,0.8-1万/月,"[[['五险一金'], ['定期体检'], ['绩效奖金'], ['餐饮补贴'], ['周末双休'], ['员工旅游'], ['节日福利'], ['家庭慰问金'], ['员工激励']], ['武汉', '5-7年经验', '大专', '招1人', '09-03发布']]"
Java开发工程师,南京科远自动化集团股份有限公司,南京-江宁区,1-1.5万/月,"[[['五险一金'], ['年终奖金'], ['定期体检'], ['节日福利'], ['带薪年假'], ['绩效奖金'], ['免费班车'], ['员工旅游'], ['专业培训']], ['南京-江宁区', '2年经验', '本科', '招1人', '09-03发布']]"
机械/土木 转行到JAVA软件开发,武汉零壹众创信息科技有限公司,武汉-洪山区,4.5-6千/月,"[[['绩效奖金'], ['五险一金'], ['员工旅游'], ['定期体检'], ['弹性工作']], ['武汉-洪山区', '无工作经验', '招5人', '09-03发布']]"
Java高级工程师,深圳市胜纬科技有限公司,深圳,1.5-2万/月,"[[], ['深圳', '3-4年经验', '本科', '招1人', '09-03发布', '英语良好']]"
Java开发工程师,杭州潮流信息技术有限公司成都分公司,成都,0.8-1.5万/月,"[[['五险一金']], ['成都', '2年经验', '本科', '招5人', '09-03发布']]"
JAVA工程师,北京亿威通达科技有限公司,北京-丰台区,1-2万/月,"[[['五险一金'], ['年终奖金'], ['节日福利']], ['北京-丰台区', '3-4年经验', '本科', '招2人', '09-03发布']]"
Java开发实习生,上海金丘信息科技股份有限公司,上海-浦东新区,3-4.5千/月,"[[['做五休二'], ['周末双休'], ['弹性工作'], ['带薪年假'], ['五险一金'], ['绩效奖金'], ['节日福利'], ['专业培训']], ['上海-浦东新区', '无工作经验', '本科', '招10人', '09-03发布']]"
Java开发工程师,广东瑞德智能科技股份有限公司,佛山-顺德区,6-8千/月,"[[['餐饮补贴'], ['通讯补贴'], ['绩效奖金'], ['专业培训'], ['包住宿'], ['全勤奖'], ['加班补贴']], ['佛山-顺德区', '1年经验', '大专', '招若干人', '09-03发布', '普通话良好', '软件工程']]"
Java开发工程师,厦门融通信息技术有限责任公司,厦门,0.8-1万/月,"[[['五险一金'], ['补充医疗保险'], ['年终奖金'], ['绩效奖金'], ['节日福利'], ['带薪年假'], ['试用期全薪'], ['生日福利']], ['厦门', '1年经验', '大专', '招5人', '09-03发布']]"
初级Java开发工程师/Java实习生,南京柯普瑞信息技术有限公司,南京,4.5-6千/月,"[[['五险一金'], ['免费班车'], ['员工旅游'], ['交通补贴'], ['餐饮补贴'], ['通讯补贴'], ['专业培训'], ['绩效奖金'], ['年终奖金'], ['定期体检']], ['南京', '无工作经验', '大专', '招3人', '09-03发布']]"
